 ,Area,Mean,Min,Max,Angle,Length
1,575.757,131.508,52.708,207.983,-88.386,140.094
2,513.513,142.924,81.500,210.719,-90.000,124.259
3,497.952,138.224,67.000,203.855,-89.076,122.303
4,513.513,133.930,58.000,203.934,-89.091,124.275
5,529.074,128.162,49.000,202.500,-90.000,130.177
6,466.830,160.415,97.000,211.862,-90.988,114.415
7,451.269,165.148,126.500,202.929,-91.023,110.470
8,466.830,147.747,89.000,212.931,-89.012,114.415
9,451.269,153.276,90.000,198.000,-90.000,110.453
10,466.830,140.733,70.000,209.224,-90.000,112.425
11,482.391,154.234,83.000,216.988,-89.029,116.387
12,497.952,142.344,59.000,197.000,-90.000,122.287
13,497.952,132.781,64.000,209.000,-90.000,122.287
